	A_-1	A_0	A_1	T_-1	T_0	T_1	C_-1	C_0	C_1	G_-1	G_0	G_1
HP1	3778	725514929	574	3778	725514929	574	4230	581922584	236	4230	581922584	236
HP2	6728	196455388	615	6728	196455388	615	3727	156487323	136	3727	156487323	136
HP3	3562	76339939	782	3562	76339939	782	2634	41993661	188	2634	41993661	188
HP4	3694	29297186	738	3694	29297186	738	1254	10230088	208	1254	10230088	208
HP5	2670	11614025	759	2670	11614025	759	629	2371273	200	629	2371273	200
HP6	1682	3385981	754	1682	3385981	754	406	418933	105	406	418933	105
HP7	2928	1417115	1257	2928	1417115	1257	158	59207	122	158	59207	122
HP8	3150	513265	3361	3150	513265	3361	88	9092	148	88	9092	148
HP9	4679	277509	6429	4679	277509	6429	70	3406	166	70	3406	166
HP10+	46657	470304	49115	46657	470304	49115	167	2898	125	167	2898	125
