	A_-1	A_0	A_1	T_-1	T_0	T_1	C_-1	C_0	C_1	G_-1	G_0	G_1
HP1	10	102846598	6	4	102846609	1	9	82459952	0	11	82459948	2
HP2	1	27870741	0	1	27870741	0	3	22145561	0	2	22145562	0
HP3	1	10836601	1	0	10836601	2	1	5935907	0	2	5935905	1
HP4	7	4161305	0	4	4161307	1	2	1445730	0	2	1445729	1
HP5	3	1648682	1	5	1648681	0	0	335041	0	1	335040	0
HP6	1	481356	0	4	481352	1	0	59202	1	0	59203	0
HP7	11	202077	0	4	202084	0	0	8402	0	0	8402	0
HP8	9	73910	9	7	73916	5	0	1333	0	0	1333	0
HP9	15	41032	14	3	41050	8	0	513	1	0	514	0
HP10+	152	80714	149	193	80702	120	2	445	1	1	446	1
